Date,Revenue
2023-08-08,19.31273398
2023-08-09,19.57672475
2023-08-10,18.98803475
2023-08-11,18.43760771
2023-08-12,18.51908507
2023-08-13,18.37249848
2023-08-14,18.40125387
2023-08-15,18.64812932
2023-08-16,18.33325378
2023-08-17,17.69431401
2023-08-18,17.46511988
2023-08-19,16.93402572
2023-08-20,17.23473672
2023-08-21,16.84142672
2023-08-22,16.22910638
2023-08-23,16.40851998
2023-08-24,16.63257795
2023-08-25,16.67862794
2023-08-26,16.25484481
2023-08-27,15.45111819
2023-08-28,14.83145352
2023-08-29,14.85477225
2023-08-30,14.26352674
2023-08-31,13.82316571
2023-09-01,13.85292416
2023-09-02,14.30303825
2023-09-03,13.81404793
2023-09-04,12.53492808
2023-09-05,11.59997052
2023-09-06,11.18296694
2023-09-07,11.30992176
2023-09-08,11.56385028
2023-09-09,11.11916768
2023-09-10,11.28501839
2023-09-11,12.34642905
2023-09-12,13.08351696
2023-09-13,13.53518778
2023-09-14,13.21823281
2023-09-15,13.40939508
2023-09-16,14.06523756
2023-09-17,14.71663889
2023-09-18,14.84117658
2023-09-19,14.67312028
2023-09-20,14.60045465
2023-09-21,15.02646456
2023-09-22,16.02914971
2023-09-23,16.45267281
2023-09-24,16.11553884
2023-09-25,15.9837842
2023-09-26,17.04559138
2023-09-27,17.03249392
2023-09-28,16.86755462
2023-09-29,17.38269453
2023-09-30,18.53401643
2023-10-01,18.42636819
2023-10-02,17.74886725
2023-10-03,17.65585117
2023-10-04,17.65435043
2023-10-05,17.74334287
2023-10-06,17.41515672
2023-10-07,17.35849569
2023-10-08,17.03394954
2023-10-09,17.02397361
2023-10-10,17.12924705
2023-10-11,16.85215536
2023-10-12,16.87632056
2023-10-13,16.74196846
2023-10-14,16.65679565
2023-10-15,16.77803414
2023-10-16,16.7257286
2023-10-17,16.41141682
2023-10-18,16.68460581
2023-10-19,16.05763027
2023-10-20,15.83582485
2023-10-21,15.62435873
2023-10-22,15.58215608
2023-10-23,15.44953699
2023-10-24,15.54358
2023-10-25,15.73518259
2023-10-26,15.32726854
2023-10-27,15.29212973
2023-10-28,15.20409098
2023-10-29,15.28867524
2023-10-30,15.21272483
2023-10-31,15.56314234
2023-11-01,16.29417008
2023-11-02,16.64104597
2023-11-03,17.74169248
2023-11-04,18.0520952
2023-11-05,18.0790654
2023-11-06,18.19260356
2023-11-07,18.45640064
2023-11-08,18.94372536
2023-11-09,19.43926174
2023-11-10,19.41508318
2023-11-11,18.44808858
2023-11-12,17.32676713
2023-11-13,16.96580444
2023-11-14,16.83548422
2023-11-15,16.62847592
2023-11-16,16.11429133
2023-11-17,16.12943604
2023-11-18,15.9764776
2023-11-19,15.00198842
2023-11-20,14.27435845
2023-11-21,13.79413971
2023-11-22,14.32249043
2023-11-23,14.08876727
2023-11-24,14.90497801
2023-11-25,15.61118508
2023-11-26,15.25722325
2023-11-27,15.44995913
2023-11-28,15.30104445
2023-11-29,15.53990358
2023-11-30,16.05930024
2023-12-01,16.69294392
2023-12-02,17.83743995
2023-12-03,17.97049828
2023-12-04,18.34314806
2023-12-05,18.76031022
2023-12-06,19.08031732
2023-12-07,19.37859058
2023-12-08,20.07618154
2023-12-09,20.30713669
2023-12-10,20.03550478
2023-12-11,19.75000881
2023-12-12,18.92506696
2023-12-13,18.80368721
2023-12-14,18.97848606
2023-12-15,18.69402609
2023-12-16,18.18418878
2023-12-17,18.87576548
2023-12-18,18.9685193
2023-12-19,19.37214904
2023-12-20,19.33828833
2023-12-21,18.51265351
2023-12-22,17.33376752
2023-12-23,16.15511086
2023-12-24,15.98145875
2023-12-25,15.24621933
2023-12-26,15.69321833
2023-12-27,15.75474857
2023-12-28,15.72205587
2023-12-29,15.86582153
2023-12-30,15.70898774
2023-12-31,15.82286745
2024-01-01,16.06942948
